skn,ncei_id,station_name,station_id,nws_sid,island,network,elevation,latitude,longitude,start_year,end_year,rf,ta,rh,ws,sw,lw,observer,data_source,edit_notes,nwsli,nesdis_id,name_hads,hads_elev,owner_code_hads,vars_hads,latitude_d_hads,longitude_d_hads,match_notes,name_ncei,mindate_ncei,maxdate_ncei,latitude_ncei,longitude_ncei,name_scan,id_scan,latitude_scan,longitude_scan,nws_kk_name,kk_nws_match_notes,name,nws_id,nws_name
1,NA,Kalae,1,NA,Bi,State,11,18.91617582,-155.6749942,1924,1949,RF,NA,NA,NA,NA,NA,USCG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kalae,NA,NA
1.1,NA,Morse Field,1.1,NA,Bi,State,12,18.91367961,-155.6805497,1939,1941,RF,NA,NA,NA,NA,NA,US AIR FORCE,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse Field,NA,NA
1.2,NA,Kalae S Trk Sta,1.2,NA,Bi,State,93,18.93866881,-155.680549,1965,1969,RF,NA,NA,NA,NA,NA,SPACE TECH LAB,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kalae S Trk Sta,NA,NA
2,USC00516134,MANUKA 2,516134,NA,Bi,COOP,534,19.10866032,-155.8255447,1949,2015,RF,NA,NA,NA,NA,NA,STATE DIV OF FTRY,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANUKA 2,NA,NA
2.1,USC00512566,KAHUKU MAUKA,512566,NA,Bi,COOP,957,19.1089,-155.7467,2002,2009,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHUKU MAUKA,NA,NA
2.11,NA,Bottom 1916 Flow,2.11,NA,Bi,State,845,19.22310147,-155.7952647,1956,1957,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bottom 1916 Flow,NA,NA
2.12,NA,Top Terr Boy,2.12,NA,Bi,State,1046,19.18588011,-155.8222097,1956,1957,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Top Terr Boy,NA,NA
2.13,NA,100 Acres,2.13,NA,Bi,State,1280,19.1961578,-155.8035985,1961,1979,RF,NA,NA,NA,NA,NA,PUUWAAWAA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100 Acres,NA,NA
2.14,NA,Kapua Mauka,2.14,NA,Bi,State,1409,19.18532491,-155.7888767,1956,1957,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kapua Mauka,NA,NA
2.15,NA,Pa Hanalei Pen,2.15,NA,Bi,State,1220,19.2036575,-155.813876,1956,1979,RF,NA,NA,NA,NA,NA,HOLUALOA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pa Hanalei Pen,NA,NA
